provider,go_version,go_version_satisfies_constraint,uses_go_modules,sdk_version,sdk_version_satisfies_constraint,does_not_use_removed_packages,all_constraints_satisfied
terraform-provider-aci,1.12.0,true,true,0.12.5,true,true,true
terraform-provider-acme,1.12.5,true,true,0.12.0,true,true,true
terraform-provider-akamai,1.11.0,false,true,0.12.3,true,true,false
terraform-provider-alicloud,1.12.0,true,true,0.10.0,false,true,false
terraform-provider-archive,1.11.5,false,true,0.12.0-alpha4.0.20190424121927-9327eedb0417,false,true,false
terraform-provider-arukas,1.11.5,false,true,0.12.0-alpha4.0.20190401192225-916f900d1d56,false,true,false
terraform-provider-atlas,1.12.0,true,true,0.10.0,false,true,false
terraform-provider-avi,1.12.0,true,true,0.12.2,true,true,true
terraform-provider-aws,1.12.0,true,true,0.12.0-beta2,false,false,false
terraform-provider-azuread,1.12.0,true,true,0.12.0,true,true,true
terraform-provider-azure-classic,1.12.0,true,true,0.10.0,false,true,false
terraform-provider-azurerm,1.12.0,true,true,0.12.0,true,true,true
terraform-provider-azurestack,1.12.0,true,true,0.12.0,true,true,true
terraform-provider-bigip,1.11.5,false,true,0.12.0,true,true,false
terraform-provider-bitbucket,1.11.5,false,true,0.12.2,true,true,false
terraform-provider-brightbox,1.11.0,false,true,0.12.3,true,true,false
terraform-provider-chef,1.11.5,false,true,0.12.2,true,true,false
terraform-provider-circonus,1.11.5,false,true,0.11.14-0.20190313165547-28810e6c0c0a,false,true,false
terraform-provider-ciscoasa,,false,true,0.12.0,true,true,false
terraform-provider-clc,1.12.0,true,true,0.10.0,false,true,false
terraform-provider-cloudflare,1.11.5,false,true,0.12.5,true,true,false
terraform-provider-cloudscale,1.12.3,true,true,0.12.3,true,true,true
terraform-provider-cloudstack,1.11.5,false,true,0.12.0,true,true,false
terraform-provider-cobbler,1.11.5,false,true,0.12.0,true,true,false
terraform-provider-consul,1.11.5,false,true,0.12.0,true,true,false
terraform-provider-datadog,1.11.5,false,true,0.12.5,true,true,false
terraform-provider-digitalocean,1.11.5,false,true,0.12.0,true,true,false
terraform-provider-dme,1.12.0,true,true,0.9.8,false,true,false
terraform-provider-dns,1.11.0,false,true,0.12.0-alpha4.0.20190424121927-9327eedb0417,false,true,false
terraform-provider-dnsimple,1.11.5,false,true,0.12.0,true,true,false
terraform-provider-docker,1.11.5,false,true,0.12.0,true,true,false
terraform-provider-dyn,1.12.0,true,true,0.12.4,true,true,true
terraform-provider-external,1.11.5,false,true,0.12.0-alpha4.0.20190424121927-9327eedb0417,false,true,false
terraform-provider-fastly,1.11.5,false,true,0.12.3,true,true,false
terraform-provider-flexibleengine,1.11.5,false,true,0.12.0,true,true,false
terraform-provider-fortios,1.11.1,false,true,0.11.8,false,true,false
terraform-provider-github,1.11.5,false,true,0.12.4,true,true,false
terraform-provider-gitlab,1.11.5,false,true,0.12.0,true,true,false
terraform-provider-google,1.11.0,false,true,0.12.4,true,true,false
terraform-provider-google-beta,1.11.0,false,true,0.12.4,true,true,false
terraform-provider-grafana,1.11.0,false,true,0.12.2,true,true,false
terraform-provider-gridscale,1.11.0,false,true,0.11.8,false,true,false
terraform-provider-hcloud,1.11.5,false,true,0.12.5,true,true,false
terraform-provider-hedvig,1.12.0,true,true,0.12.2,true,true,true
terraform-provider-helm,1.12.0,true,true,0.12.1,true,true,true
terraform-provider-heroku,1.11.5,false,true,0.12.4,true,true,false
terraform-provider-http,1.11.0,false,true,0.12.0-alpha4.0.20190424121927-9327eedb0417,false,true,false
terraform-provider-huaweicloud,1.11.5,false,true,0.12.0,true,true,false
terraform-provider-icinga2,1.11.5,false,true,0.12.2,true,true,false
terraform-provider-ignition,1.11.0,false,true,0.12.0,true,true,false
terraform-provider-influxdb,1.12.5,true,true,0.12.0,true,true,true
terraform-provider-jdcloud,1.12.0,true,true,0.12.0,true,true,true
terraform-provider-kubernetes,1.12.0,true,true,0.12.5,true,true,true
terraform-provider-librato,1.12.0,true,true,0.10.0,false,true,false
terraform-provider-linode,1.12.0,true,true,0.12.0,true,true,true
terraform-provider-local,1.11.5,false,true,0.12.0-alpha4.0.20190424121927-9327eedb0417,false,true,false
terraform-provider-logentries,1.12.0,true,true,0.10.0,false,true,false
terraform-provider-logicmonitor,1.11.5,false,true,0.12.1,true,true,false
terraform-provider-mailgun,1.12.0,true,true,0.10.0,false,true,false
terraform-provider-mysql,1.11.5,false,true,0.12.0,true,true,false
terraform-provider-ncloud,1.12.0,true,true,0.0.0-20190116193128-2ad9f0513a2b,false,true,false
terraform-provider-netlify,1.11.0,false,true,0.12.1,true,true,false
terraform-provider-newrelic,1.11.5,false,true,0.12.3,true,true,false
terraform-provider-nomad,1.11.5,false,true,0.12.0-rc1,false,true,false
terraform-provider-ns1,1.11.5,false,true,0.12.3,true,true,false
terraform-provider-nsxt,1.11.5,false,true,0.12.0,true,true,false
terraform-provider-null,1.11.0,false,true,0.12.0-alpha4.0.20190424121927-9327eedb0417,false,true,false
terraform-provider-nutanix,1.11.5,false,true,0.11.14-0.20190313165547-28810e6c0c0a,false,false,false
terraform-provider-oci,1.11.0,false,true,0.12.4-0.20190628193153-a74738cd35fc,false,true,false
terraform-provider-oneandone,1.11.5,false,true,0.11.12-beta1.0.20190214175014-182daa619826,false,true,false
terraform-provider-opc,1.11.5,false,true,0.12.0-alpha4.0.20190424121927-9327eedb0417,false,true,false
terraform-provider-openstack,1.12.0,true,true,0.12.2,true,true,true
